,rewrite_prompt,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document
504,"this to emphasize the captivating beauty of faith and dedication.""",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
505,"this text by incorporating the theme of interconnectedness in the essay ""On the Dragons"" and explore the concept of absurdity throughout different periods in history across the continents.",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
538,this text as if it were a masterpiece.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
558,this to heighten the impact on the reader's senses and captivate like a guerrilla marketing campaign to further a discussion where individuality shines through in the narrative as a vivid sequence of urban scenes.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
559,the storyline of the text into a contract to transcend the physical boundaries of high school premises.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
579,this as a lecture breaking down a news report into its founding story as if it were a high-quality blog post.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
581,readability and engagement in the whole story by presenting it from the perspective of the haggard stranger declaring the end of a company culture in the eyes of the highlanders.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
600,the story with Helen expressing her indignation to the papers.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
613,"and enhance the narrative by delving deeper into the internal struggles and dilemmas the protagonist faces, creating a poignant atmosphere with limited external influences.",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
634,this into an article about the sights of Edinburgh.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
636,your history essay to imbue it with wisdom and resilience.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
662,modify this. Make it as a strong motivational monologue from Scotland.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
732,this into a tale of monarchs and their journey to discover the hidden beauty beneath the surface evolving into an extraterrestrial departure.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
735,"the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,True
743,"the story into a modernized epic tale centered around the themes of family, sacrifice, wealth, and hardship.",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
751,this into a memoir about experiencing a significant societal shift that transformed the early Church in the year 1219.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
753,transform this into a passionate reading.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
765,"a story involving a tea ceremony accompanied by the scent of wood smoke and steel, and make sure to submit it for review.",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
780,revise the story about the steadfast commitment to interpreting ancient texts.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
802,"infuse this text with wisdom and evoke the emotions felt as the Cossacks journeyed through the Project Gutenberg eBook of ""Queen.""",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
803,an excerpt by incorporating the theme of resilience into the text.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
808,the story to emphasize the wrinkles in the Aberdeen.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
815,rephrase this text as if it were written by someone who values history the most.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
822,"rephrase this into: ""Highlight the essential role of a Celtic salute that is historically significant and conveys reverence.""",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
832,this text as an engaging tale about exploring islands in search of magical powers hidden within vibrant colors inspired by the famous 16th-century bishop Elphinstone.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
858,a news report.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
873,the essay with a heartfelt tone and indicate that it was composed during times of war.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
875,an essay on the implied warranties of north-easterly gales into a heartfelt letter from a king on a journey of survival.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
882,a higher tragedy by transforming the Earl of the essay through drinking.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
885,the text to reflect a sense of admiration and wonder.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
891,this statement to emphasize the importance of storytelling in bridging communities through innovation.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
892,the text from the story into an essay by drawing on themes of sorrow and separation during the summer.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
912,"the passage as: ""The correspondents unshipped once more, creating suspense. It highlighted the celebrated physician's narrow yet uplifting journey.""",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
942,"the mood by incorporating a line from the essay with a customer journey, weaving in mysterious ancient scriptures.",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
